cluster,METEOR_base,count,METEOR_aug,METEOR_delta
201,30.774126138896964,4,33.13564649678606,2.361520357889095
4,30.742365172189736,5,35.97197813817795,5.229612965988217
255,30.739153372780557,4,39.88186668700977,9.142713314229212
152,30.7184767517075,11,26.465331818970625,-4.253144932736873
182,30.58042149587925,13,40.57694692987802,9.99652543399877
268,30.537570870096264,13,30.818012181415888,0.280441311319624
155,30.44408021842861,6,36.34446298874113,5.900382770312518
142,30.26246092592182,10,45.75686797219009,15.494407046268275
221,29.81978134986604,5,44.46802260072188,14.64824125085584
147,29.7416563760864,5,31.076197346041795,1.3345409699553947
25,29.30823145395194,5,41.90780308285503,12.599571628903092
140,29.27792552190485,5,25.811559497734244,-3.4663660241706076
177,28.97723680674212,5,25.947661210806388,-3.0295755959357322
273,28.841556703002485,2,27.35010989905568,-1.491446803946804
276,28.48877898270116,7,33.39141213635955,4.902633153658389
162,28.28741039426523,2,27.27018385291766,-1.0172265413475685
154,27.66429401541277,2,30.59667778704476,2.93238377163199
188,27.650339498531583,4,39.998263613126014,12.34792411459443
239,27.65020324254648,5,37.25870206942417,9.608498826877689
89,27.517567029612668,5,29.02150640316382,1.5039393735511517
176,27.479091995221037,1,35.532407407407405,8.053315412186368
37,27.455129304095607,25,24.73561698083103,-2.7195123232645777
87,27.447089947089943,2,34.635689359650655,7.188599412560713
107,27.193427395811295,8,21.973117324845905,-5.22031007096539
63,27.10948772602615,6,48.622449292698285,21.512961566672136
172,26.98596129908112,33,30.77195954009248,3.785998241011363
185,26.426242848629148,13,30.43927144361281,4.013028594983663
119,26.20974968328898,8,37.94479594667535,11.73504626338637
49,25.995522733097047,4,47.81788594276999,21.822363209672943
174,25.79734610239058,78,26.43848375285139,0.6411376504608093
258,25.78557235035196,3,41.54510601491455,15.759533664562593
299,25.35308003855485,3,50.25064328680816,24.897563248253313
200,24.98550942155612,4,43.01564558629466,18.03013616473854
265,24.664832242777106,8,25.282761773596903,0.6179295308197972
212,24.093511450381687,1,7.874015748031496,-16.21949570235019
66,23.85244963369963,2,36.9567055640115,13.104255930311869
125,22.90076335877863,1,15.503875968992247,-7.396887389786382
81,22.871570772966933,4,38.54761011602663,15.6760393430597
51,22.7068345323741,1,27.56274923762609,4.85591470525199
164,22.180401356436104,4,21.99328632332229,-0.1871150331138125
62,21.742888574571747,3,19.93772206352288,-1.805166511048867
82,21.541465540359347,2,20.92117758784426,-0.6202879525150884
184,21.05855855855856,2,14.523714891361951,-6.534843667196608
186,20.49180327868852,1,20.49180327868852,0.0
173,19.483024691358025,5,12.269938650306749,-7.213086041051277
252,19.04761904761905,1,10.000000000000002,-9.04761904761905
5,17.033249165246346,71,21.72639147281033,4.693142307563985
78,16.393442622950822,1,53.04621848739496,36.65277586444414
92,15.314491938507688,2,11.842269716285465,-3.472222222222223
296,7.751937984496124,1,40.24496937882765,32.493031394331524
91,7.272727272727273,2,9.625668449197862,2.3529411764705888
